Student,pref_audio,pref_image,pref_infographic,pref_games,pref_webpgs,pref_table,pref_text,pref_tutorial,pref_video,pref_forum,pref,rend,cluster
57,9,0,5,5,5,5,7,6,9,4,0.78,6.13,3
58,4,0,6,1,1,3,1,7,8,8,0.77,5.82,4
59,9,10,5,7,4,9,0,6,2,7,0.84,4.12,2
60,5,9,0,8,1,2,8,8,2,9,0.74,4.57,5
61,5,0,7,0,1,3,0,7,9,8,0.75,5.18,4
62,4,0,7,1,1,4,1,7,8,8,0.79,4.06,4
63,5,0,8,1,1,4,1,8,9,8,0.75,4.04,4
64,1,0,4,8,1,3,2,2,8,7,0.84,7.2,1
65,4,0,6,0,2,4,1,7,9,8,0.79,3.42,4
66,4,9,0,9,2,3,8,8,2,9,0.89,8.35,5
67,5,9,0,9,1,3,8,8,1,10,0.8,2.95,5
68,9,0,4,4,5,5,6,6,8,4,0.82,6.41,3
69,0,0,3,7,0,3,1,1,9,7,0.77,6.24,1
70,8,8,4,7,4,7,0,6,2,8,0.85,5.37,2
71,5,0,7,0,2,3,1,7,8,8,0.79,3.97,4
72,9,0,5,4,5,4,7,5,9,4,0.75,4.54,3
73,8,8,3,6,4,8,0,5,1,7,0.81,6.21,2
74,5,10,0,9,1,3,8,8,1,10,0.87,5.43,5
75,1,0,4,8,1,4,2,2,8,7,0.79,4.35,1
76,5,10,0,10,2,4,7,8,2,10,0.73,2.61,5
77,9,9,4,7,4,8,0,6,2,7,0.71,1.03,2
78,10,9,4,7,4,8,0,6,2,7,0.8,5.79,2
79,5,0,7,1,2,4,2,8,10,9,0.83,2.99,4
80,10,9,4,8,4,8,0,6,2,8,0.81,4.93,2
81,5,0,7,0,2,4,1,7,9,8,0.74,4.3,4
82,0,0,3,7,1,3,2,1,7,6,0.92,8.35,1
83,5,9,0,10,2,3,8,8,2,9,0.77,3.59,5
84,5,9,0,10,1,4,8,9,2,10,0.86,6.23,5
85,5,0,6,1,2,4,2,7,8,8,0.74,3.83,4
86,4,9,0,9,1,3,8,9,2,10,0.86,6.97,5
87,10,9,4,7,4,9,0,6,2,8,0.7,2.36,2
88,9,9,4,6,4,9,0,5,2,7,0.74,2.23,2
89,5,10,0,9,2,3,8,9,2,10,0.84,6.77,5
90,9,8,4,7,4,8,0,5,2,8,0.76,4,2
91,1,0,3,7,0,3,1,1,8,6,0.78,5.33,1
92,4,0,6,1,1,4,1,8,8,8,0.8,4.51,4
93,0,0,3,7,1,4,1,1,7,7,0.76,3.12,1
94,9,0,4,3,4,4,7,5,8,4,0.87,6.84,3
95,9,0,4,4,5,4,6,6,8,4,0.88,6.66,3
96,5,9,0,9,3,4,9,8,2,10,0.66,2.16,5
97,10,0,4,4,5,5,7,6,9,5,0.8,4.22,3
98,9,8,4,7,3,8,0,6,2,7,0.76,4.3,2
99,9,0,5,4,4,5,7,6,9,3,0.8,3.87,3
100,4,0,7,0,1,3,1,7,8,8,0.74,3.31,4
101,5,9,0,9,2,3,8,9,2,10,0.77,3.28,5
102,4,0,6,0,1,3,0,7,8,7,0.85,5.8,4
103,5,9,0,9,2,4,8,9,3,9,0.78,5.83,5
104,10,0,5,4,4,5,8,6,9,4,0.7,0.65,3
105,10,0,4,4,5,5,8,6,9,4,0.85,4.84,3
106,9,0,4,5,4,4,7,5,8,4,0.86,9.45,3
107,4,0,7,1,2,4,1,7,8,8,0.71,2.55,4
108,9,9,3,6,4,8,0,5,1,7,0.73,2.84,2
109,4,0,6,1,1,4,1,7,8,8,0.9,5.8,4
110,9,8,3,6,3,8,0,5,1,6,0.85,6.24,2
111,9,9,4,7,4,8,0,6,2,7,0.88,7.69,2
112,4,0,7,0,1,3,1,7,8,8,0.78,4.83,4
113,10,9,4,7,4,8,0,5,1,8,0.78,4.07,2
114,0,1,4,7,0,3,1,1,8,7,0.83,7.2,1
115,0,0,3,7,0,3,1,1,8,7,0.79,4.25,1
116,10,9,4,6,4,8,0,5,1,7,0.77,3.92,2
117,9,9,4,7,5,7,0,5,2,7,0.71,3.86,2
118,10,0,5,5,4,5,7,6,9,3,0.85,6.18,3
119,5,9,0,9,2,3,8,8,2,9,0.72,2.28,5
120,4,9,0,9,1,3,8,8,1,10,0.81,4.95,5
121,5,9,0,9,1,3,8,8,2,10,0.77,4.77,5
122,1,0,4,8,1,4,2,2,9,7,0.76,2.74,1
123,9,0,5,4,4,4,7,6,8,4,0.74,2.59,3
124,5,9,0,10,2,3,8,9,2,10,0.73,1.83,5
125,4,0,6,1,2,4,1,7,8,7,0.82,5.17,4
126,5,0,7,1,2,4,1,7,8,7,0.8,4.2,4
127,10,9,4,7,4,8,0,5,2,7,0.73,5.15,2
128,10,9,4,7,5,9,0,6,2,7,0.75,3.54,2
129,9,9,4,7,4,8,0,6,2,8,0.69,1.97,2
130,5,9,0,9,1,2,8,9,2,10,0.85,4.76,5
131,10,0,5,4,4,5,7,6,8,4,0.9,8.97,3
132,5,0,6,1,2,3,1,8,8,8,0.9,7.39,4
133,4,9,0,9,2,3,8,8,2,10,0.87,7.44,5
134,10,0,5,4,5,4,7,6,8,4,0.83,8.22,3
135,8,9,4,7,4,8,0,5,2,7,0.87,5.63,2
136,4,0,7,1,2,4,1,7,8,8,0.79,6.34,4
137,10,0,4,4,5,5,6,5,8,5,0.75,3.52,3
138,9,10,5,7,4,9,0,6,1,7,0.9,7.8,2
139,9,9,4,7,4,8,0,5,2,7,0.7,0.96,2
140,0,0,3,7,0,4,1,2,8,7,0.77,4.87,1
141,5,0,7,1,3,3,2,8,9,8,0.96,8.97,4
142,5,0,7,0,2,3,1,8,9,8,0.89,7.35,4
143,5,0,7,1,2,4,1,8,9,8,0.76,5.58,4
144,9,10,5,7,5,8,0,6,3,8,0.73,3.07,2
145,5,0,7,1,2,3,1,7,8,7,0.88,5.63,4
146,5,9,0,9,2,4,8,9,2,9,0.83,7.27,5
147,5,9,0,8,1,3,8,7,2,10,0.94,10.36,5
148,5,10,0,9,3,3,8,8,2,10,0.72,3.4,5
149,5,0,7,1,2,4,1,8,8,8,0.91,7.89,4
150,4,9,0,8,1,3,8,8,1,9,0.89,5.62,5
151,0,0,3,8,0,4,1,1,8,7,0.75,2.79,1
152,4,0,6,0,2,4,0,7,7,7,0.93,9.79,4
153,1,0,4,7,1,3,2,1,8,7,0.91,7.25,1
154,9,0,5,4,4,4,7,7,10,5,0.84,6.13,3
155,9,0,4,4,5,3,7,6,8,3,0.89,7.22,3
156,9,9,4,7,4,8,0,5,2,7,0.76,2.91,2
157,8,9,4,7,4,8,0,6,2,7,0.72,3.61,2
158,1,0,3,6,1,4,1,1,7,6,0.74,4.02,1
159,0,0,3,7,1,3,1,1,8,7,0.83,7.68,1
160,5,9,0,9,2,3,9,8,2,10,0.91,7.66,5
161,9,0,4,5,4,4,7,6,9,4,0.79,5.13,3
162,5,9,0,9,2,3,8,9,2,10,0.92,6.76,5
163,4,0,6,0,1,3,0,6,8,7,0.8,5.11,4
164,9,0,4,4,4,5,7,6,9,4,0.79,6.43,3
165,5,9,0,9,2,4,8,8,2,10,0.78,3.15,5
166,0,0,3,7,0,3,1,1,8,7,0.79,3.92,1
167,10,9,4,6,4,8,0,6,2,7,0.78,5.5,2
168,0,0,3,7,0,3,1,1,7,7,0.64,1.6,1
169,10,0,5,4,5,5,7,6,9,4,0.88,6.1,3
170,0,1,3,7,1,3,2,2,8,7,0.76,5.28,1
171,9,0,4,5,4,5,6,6,8,4,0.75,5.05,3
172,8,8,3,6,4,7,0,5,2,6,0.86,7.43,2
173,0,0,3,7,0,3,1,1,8,7,0.87,7.97,1
174,1,0,4,6,0,3,1,1,8,7,0.77,5.49,1
175,1,0,3,6,0,3,1,1,7,6,0.81,5.14,1
176,10,0,4,4,5,4,7,5,8,4,0.89,7.69,3
177,5,9,0,10,2,3,8,8,2,10,0.85,6.56,5
178,0,0,3,7,1,4,1,1,8,7,0.69,3.89,1
179,5,0,7,1,1,4,1,7,9,8,0.83,5.95,4
180,10,0,5,5,5,5,7,6,9,5,0.81,4.88,3
181,10,0,5,4,5,4,7,6,9,4,0.8,5.74,3
182,4,9,0,9,1,3,7,8,2,9,0.74,5.23,5
183,0,0,4,7,0,4,2,1,9,7,0.86,4.05,1
184,5,9,0,9,2,4,8,8,2,10,0.68,3.09,5
185,0,0,3,7,0,4,2,1,9,8,0.79,3.43,1
186,0,1,3,7,0,4,2,1,8,7,0.81,6.42,1
187,0,0,3,7,0,3,1,1,8,7,0.8,3.36,1
188,5,0,7,1,2,4,1,7,8,8,0.91,7.47,4
189,10,9,4,7,4,8,0,6,2,7,0.83,6.24,2
190,5,0,6,0,1,4,1,8,9,8,0.63,1.51,4
191,9,9,4,7,5,9,0,6,2,8,0.93,8.64,2
192,5,9,0,9,2,3,8,8,2,10,0.85,5.64,5
193,1,0,3,7,0,4,2,1,7,6,0.73,2.99,1
194,5,9,0,10,1,3,8,8,2,10,0.87,5.56,5
195,10,0,4,4,4,4,8,5,9,4,0.76,5.23,3
196,5,9,0,8,1,3,7,8,1,9,0.78,4.04,5
197,5,0,7,1,2,4,1,7,9,8,0.77,3.49,4
198,8,8,4,6,4,8,0,6,2,6,0.83,6.07,2
199,5,9,0,8,2,3,8,9,1,10,0.63,1.19,5
200,0,0,3,7,0,4,2,1,8,7,0.74,4.37,1
201,8,8,4,6,4,8,0,5,2,7,0.72,1.12,2
202,4,10,0,10,3,3,8,8,2,10,0.78,5.66,5
203,9,9,4,7,4,8,0,5,2,7,0.78,4.28,2
204,5,0,7,1,1,4,1,8,9,8,0.84,4.71,4
205,10,9,4,7,4,8,0,6,2,7,0.81,5.97,2
206,0,0,3,7,0,3,1,1,8,6,0.9,7.98,1
207,10,0,6,4,5,4,7,6,8,5,0.7,1.09,3
208,10,9,4,7,4,9,0,5,2,7,0.84,5.75,2
209,10,9,4,7,4,8,0,6,2,7,0.79,4.9,2
210,10,0,4,4,4,4,7,6,8,4,0.61,-0.96,3
211,8,9,4,7,3,9,0,6,1,7,0.71,3.72,2
212,0,0,3,7,0,4,1,1,8,7,0.82,5.49,1
213,1,0,3,7,0,3,2,1,8,7,0.83,4.98,1
214,4,8,0,9,1,3,8,8,1,10,0.74,3.85,5
215,4,0,6,1,2,3,0,7,7,7,0.79,5.53,4
216,1,0,4,7,0,3,1,1,8,7,0.78,3.66,1
217,9,8,4,6,4,7,0,5,2,7,0.74,3.39,2
218,5,0,7,0,2,4,2,8,9,8,0.82,5.42,4
219,4,8,0,9,1,3,8,8,1,9,0.69,2.74,5
220,5,0,6,1,2,4,2,7,8,7,0.67,3.27,4
221,4,9,0,9,1,2,8,8,1,10,0.87,5.55,5
222,10,0,4,5,4,4,6,6,9,4,0.82,3.64,3
223,5,10,0,9,1,3,8,8,2,9,0.75,4.28,5
224,6,10,0,9,2,4,8,9,2,10,0.79,5.05,5
225,0,0,3,7,0,4,1,1,8,7,0.84,6.22,1
226,5,10,0,8,1,3,8,8,2,9,0.75,4.57,5
227,9,9,5,7,5,8,0,5,2,7,0.8,5.46,2
228,10,0,4,4,5,4,7,5,9,3,0.94,9.4,3
229,9,0,5,4,4,5,6,6,8,4,0.92,7.41,3
230,0,0,3,7,1,3,2,1,8,7,0.84,6.24,1
231,0,0,2,7,0,3,1,1,7,7,0.85,7.17,1
232,4,0,6,0,1,4,1,6,7,7,0.76,3.75,4
233,5,0,6,0,1,4,1,7,8,8,0.84,5.06,4
234,4,9,0,9,2,3,7,8,1,9,0.77,5.38,5
235,0,0,3,7,1,4,2,1,8,7,0.85,6.92,1
236,5,0,7,1,2,4,2,7,8,7,0.85,6.07,4
237,0,0,3,7,0,4,1,1,8,7,0.81,5.38,1
238,10,9,4,7,3,8,0,6,2,7,0.86,6.65,2
239,0,0,4,7,0,3,2,1,8,7,0.82,4.48,1
240,9,0,4,4,4,5,6,5,8,3,0.81,5.27,3
241,0,0,3,7,0,3,1,1,8,7,0.88,8.49,1
242,5,8,0,8,2,3,8,8,2,9,0.84,5.27,5
243,10,0,5,4,5,5,7,6,9,4,0.87,5.9,3
244,5,9,0,9,2,4,8,8,1,10,0.74,4.41,5
245,10,0,4,4,5,5,8,6,8,4,0.96,7.51,3
246,5,0,6,0,1,4,1,7,9,8,0.85,4.59,4
247,10,9,4,7,4,9,0,6,1,7,0.69,3.12,2
248,10,0,5,4,4,5,7,6,9,4,0.88,6.33,3
249,9,0,5,5,5,5,8,6,8,4,0.77,5.92,3
250,4,8,0,8,3,4,8,9,2,9,0.85,4.56,5
251,9,0,4,3,4,5,7,6,8,4,0.77,4.65,3
252,5,8,0,8,2,3,8,8,2,10,0.79,4.46,5
253,4,0,7,1,2,4,1,6,8,6,0.73,3.33,4
254,9,9,4,7,4,9,0,5,2,8,0.85,4.19,2
255,5,10,0,9,2,3,8,8,2,10,0.85,6.49,5
256,9,9,4,6,4,9,0,5,2,7,0.79,5.62,2
257,9,9,4,7,4,8,0,6,2,7,0.81,5.89,2
258,5,0,6,1,2,4,1,7,9,8,0.73,5.02,4
259,9,0,5,4,5,5,8,6,8,4,0.85,6.83,3
260,4,0,7,0,1,3,1,7,8,7,0.76,2.86,4
261,9,9,4,7,4,9,0,5,2,8,0.7,1.91,2
262,10,0,5,4,4,4,7,6,8,4,0.84,6.51,3
263,8,8,3,6,4,8,0,5,2,7,0.79,4.22,2
264,5,0,6,0,2,4,0,7,8,7,0.81,4.9,4
265,9,0,5,5,5,5,7,6,9,4,0.88,5.21,3
266,5,8,0,9,2,3,8,9,2,9,0.8,5.69,5
267,10,0,5,5,4,4,7,6,9,4,0.74,3.63,3
268,9,10,4,7,4,8,0,6,2,7,0.8,6.31,2
269,10,9,4,7,4,9,0,6,2,7,0.96,9.81,2
270,1,0,3,7,1,3,1,1,8,7,0.83,6.01,1
271,0,0,4,6,1,3,2,1,7,6,0.92,7.54,1
272,0,0,3,6,0,3,1,1,7,7,0.82,4.71,1
273,5,9,0,10,1,3,8,8,2,10,0.76,4.65,5
274,0,0,3,7,1,3,1,1,8,7,0.89,6.77,1
275,8,9,3,6,4,8,0,5,1,7,0.68,1.91,2
276,10,9,3,7,4,8,0,6,1,7,0.75,6.63,2
277,9,0,4,4,4,5,8,7,8,4,0.74,4.67,3
278,5,0,6,1,2,4,1,7,9,8,0.8,7.05,4
279,0,0,3,7,0,4,2,1,8,6,0.82,4.93,1
280,4,0,7,0,2,4,1,8,9,7,0.78,3.56,4
281,8,9,4,6,4,8,0,6,2,6,0.68,2.48,2
282,9,9,4,7,5,8,0,5,2,7,0.9,6.42,2
283,9,9,4,7,4,9,0,6,2,7,0.83,6.18,2
284,8,8,4,7,4,8,0,5,2,7,0.9,7.62,2
285,9,9,4,7,4,9,0,6,2,7,0.78,4.28,2
286,5,0,7,0,2,4,1,8,7,8,0.74,2.7,4
287,5,9,0,9,2,4,8,8,2,9,0.64,1.01,5
288,0,0,3,7,0,3,1,1,8,7,0.83,6.01,1
289,0,0,3,7,1,3,1,1,7,6,0.79,5.54,1
290,5,0,6,1,2,4,1,7,8,7,0.73,3.94,4
291,1,0,4,7,1,4,1,1,9,7,0.72,2.75,1
292,10,9,5,7,4,9,0,6,1,8,0.82,5.79,2
293,5,8,0,9,2,3,8,9,2,9,0.87,6.51,5
294,1,0,4,7,1,3,2,1,8,7,0.83,6.98,1
295,10,0,4,4,4,5,7,6,8,4,0.77,6.7,3
296,5,0,6,1,2,4,1,7,9,8,0.73,2.73,4
297,0,0,3,7,0,4,1,1,7,6,0.82,4.52,1
298,0,0,3,7,0,3,2,1,8,7,0.84,7.01,1
299,5,0,6,1,2,4,1,7,8,7,0.83,4.53,4
300,10,0,4,4,4,4,7,6,9,4,0.96,9.77,3
301,5,0,7,1,2,4,2,7,10,8,0.75,5.92,4
302,10,0,6,5,5,5,7,6,8,4,0.73,3.06,3
303,4,8,0,9,2,2,8,8,2,9,0.72,2.46,5
304,9,9,4,7,5,8,0,5,2,7,0.79,5.27,2
305,4,8,0,9,1,3,8,7,1,9,0.83,3.85,5
306,4,0,7,1,2,3,1,6,7,7,0.71,1.58,4
307,0,0,3,8,0,4,1,1,9,7,0.78,4.67,1
308,1,0,3,7,0,3,1,1,8,7,0.76,7.33,1
309,8,9,4,7,3,8,0,4,2,7,0.86,5.58,2
310,5,9,0,8,2,3,7,8,2,10,0.77,4.32,5
311,10,0,5,4,4,5,7,6,9,5,0.82,7.38,3
312,0,0,4,7,1,3,1,1,8,7,0.77,6.38,1
313,5,8,0,9,1,3,8,8,1,9,0.89,8.8,5
314,5,9,0,9,2,3,7,8,2,9,0.82,5.3,5
315,9,0,3,3,4,4,7,6,8,4,0.87,6.59,3
316,10,0,5,4,4,5,7,6,9,4,0.92,7.51,3
317,9,8,4,6,4,7,0,6,2,7,0.81,4.41,2
318,9,8,4,7,4,8,0,6,1,7,0.82,4.56,2
319,9,8,4,7,4,8,0,6,3,7,0.61,0.74,2
320,10,0,5,4,4,5,7,6,8,4,0.8,4.89,3
321,10,0,5,4,4,4,7,5,8,4,0.79,5.88,3
322,9,9,4,7,4,9,0,5,2,7,0.91,5.01,2
323,4,9,0,9,1,2,8,9,1,10,0.72,1.29,5
324,5,0,7,1,2,4,1,7,8,7,0.78,5.39,4
325,4,9,0,9,1,3,7,8,2,9,0.77,1.73,5
326,9,0,5,4,4,4,7,6,9,3,0.86,5.87,3
327,9,0,4,5,4,5,7,6,9,4,0.82,6.32,3
328,5,9,0,9,1,3,8,9,1,10,0.8,4.33,5
329,4,0,5,0,1,3,0,7,7,7,0.75,4.55,4
330,10,9,4,7,4,9,0,6,2,6,0.89,7.79,2
331,0,0,3,7,1,3,1,1,8,7,0.79,5.19,1
332,4,9,0,9,2,3,8,8,1,10,0.92,7.82,5
333,5,9,0,9,1,3,8,8,2,10,0.65,0.21,5
334,5,8,0,9,2,4,7,8,2,9,0.72,1.04,5
335,5,9,0,9,2,2,9,8,2,10,0.81,4.42,5
336,0,0,3,7,0,3,1,1,8,7,0.79,4.71,1
337,1,0,3,7,1,3,2,1,7,7,0.72,4.01,1
338,9,9,4,7,4,8,0,5,2,7,0.76,4.47,2
339,9,0,4,4,5,5,7,6,8,4,0.77,5.45,3
340,2,0,3,7,1,4,2,2,8,7,0.87,7.41,1
341,5,8,0,9,2,3,8,8,2,9,0.84,5.42,5
342,10,0,4,4,5,5,7,5,9,4,0.75,3.55,3
343,10,0,4,4,4,5,8,6,8,4,0.84,5.49,3
344,5,0,7,1,1,4,2,6,9,8,0.76,1.78,4
345,9,8,4,6,4,8,0,5,2,7,0.81,5.32,2
346,0,0,3,6,0,3,1,1,8,7,0.79,4.49,1
347,0,0,4,7,1,4,1,1,8,7,0.77,4.92,1
348,5,0,6,0,1,4,1,7,8,8,0.79,6.23,4
349,5,0,6,0,1,3,0,7,8,8,0.87,7.77,4
350,0,0,3,8,1,4,1,1,9,7,0.84,5.59,1
351,4,9,0,9,2,3,8,8,2,9,0.78,5.55,5
352,0,0,3,7,0,4,1,1,9,8,0.82,5.65,1
353,10,9,4,7,4,8,0,5,2,7,0.74,1.76,2
354,4,0,6,1,2,3,1,6,7,7,0.77,5.48,4
355,9,8,4,6,4,8,0,6,2,7,0.85,6.68,2
356,9,0,4,4,5,5,7,6,8,4,0.71,5.01,3
357,5,0,7,1,1,4,1,7,9,8,0.84,5.63,4
358,0,0,3,7,0,3,2,1,8,7,0.83,7.33,1
359,5,8,0,9,2,3,8,8,1,9,0.71,3.85,5
360,9,0,4,4,5,4,7,6,8,5,0.79,3.6,3
361,5,9,0,9,2,3,8,8,2,10,0.93,7.31,5
362,5,0,7,1,2,4,1,7,8,8,0.75,4.2,4
363,9,0,4,4,3,4,6,6,8,4,0.82,4.42,3
364,4,0,6,0,1,4,1,7,8,8,0.78,5.33,4
365,5,9,0,10,2,4,7,8,1,10,0.86,7.06,5
366,5,0,7,1,2,4,1,7,8,8,0.87,6.08,4
367,4,0,6,1,2,3,1,7,8,8,0.76,1.68,4
368,5,0,7,0,1,4,1,7,9,8,0.81,5.22,4
369,9,0,5,4,5,5,7,7,9,4,0.93,6.89,3
370,9,0,5,4,4,4,7,5,8,4,0.89,5.53,3
371,9,9,4,6,4,8,0,5,2,7,0.98,9.64,2
372,5,8,0,9,2,3,8,8,2,9,0.77,3.22,5
373,5,0,7,0,2,4,2,7,9,8,0.83,6.01,4
374,10,9,4,7,4,9,0,5,2,7,0.79,1.62,2
375,4,9,0,9,1,2,7,8,2,10,0.72,4.89,5
376,8,9,4,6,4,8,0,6,2,7,0.9,5.83,2
377,10,0,5,5,5,4,7,7,9,5,0.84,7.26,3
378,5,0,6,1,2,5,1,8,9,8,0.84,4.75,4
379,5,9,0,9,1,3,8,8,2,9,0.75,6.09,5
380,4,0,6,0,2,4,1,7,7,7,0.8,5.09,4
381,5,9,0,10,3,4,8,8,3,9,0.74,4.06,5
382,4,9,0,9,1,2,8,8,1,10,0.81,4.53,5
383,0,0,3,7,0,3,1,1,8,7,0.65,1.93,1
384,10,0,5,4,4,4,7,6,8,3,0.64,0.41,3
385,8,8,3,6,4,8,0,5,1,7,0.78,4.73,2
386,5,0,7,0,2,4,1,7,8,7,0.71,3.43,4
387,0,0,3,7,0,4,1,1,7,7,0.86,6.02,1
388,1,0,4,7,1,4,2,1,7,7,0.8,6.22,1
389,9,0,5,4,5,5,7,7,9,5,0.85,6.96,3
390,1,0,3,7,1,4,1,1,8,7,0.92,9.94,1
391,1,0,3,7,0,4,2,1,8,7,0.88,6.1,1
392,9,0,4,4,4,5,7,5,8,4,0.84,5.53,3
393,5,0,7,1,1,4,1,7,9,8,0.83,5.28,4
394,0,0,3,6,0,3,1,1,7,6,0.85,8.31,1
395,5,0,7,0,2,4,0,8,8,7,0.72,3.03,4
